key,value,date
information science & library science,0,01/16/06
information science & library science,1,01/17/07
information science & library science,2,01/18/08
information science & library science,1,01/19/09
information science & library science,0,01/20/10
information science & library science,2,01/21/11
information science & library science,1,01/22/12
information science & library science,0,01/23/13
information science & library science,2,01/24/14
information science & library science,1,01/25/15
information science & library science,0,01/26/16
international relations,1,01/10/00
international relations,0,01/11/01
international relations,0,01/12/02
international relations,0,01/13/03
international relations,1,01/14/04
international relations,1,01/15/05
international relations,2,01/16/06
international relations,1,01/17/07
international relations,2,01/18/08
international relations,3,01/19/09
international relations,5,01/20/10
international relations,2,01/21/11
international relations,6,01/22/12
international relations,3,01/23/13
international relations,1,01/24/14
international relations,1,01/25/15
international relations,6,01/26/16
mathematical & computational biology,0,01/10/00
mathematical & computational biology,1,01/11/01
mathematical & computational biology,0,01/12/02
mathematical & computational biology,2,01/13/03
mathematical & computational biology,2,01/14/04
mathematical & computational biology,1,01/15/05
mathematical & computational biology,1,01/16/06
mathematical & computational biology,1,01/17/07
mathematical & computational biology,2,01/18/08
mathematical & computational biology,2,01/19/09
mathematical & computational biology,0,01/20/10
mathematical & computational biology,2,01/21/11
mathematical & computational biology,1,01/22/12
mathematical & computational biology,1,01/23/13
mathematical & computational biology,2,01/24/14
mathematical & computational biology,2,01/25/15
mathematical & computational biology,0,01/26/16
mathematics,0,01/10/00
mathematics,1,01/11/01
mathematics,2,01/12/02
mathematics,3,01/13/03
mathematics,2,01/14/04
mathematics,2,01/15/05
mathematics,2,01/16/06
mathematics,2,01/17/07
mathematics,3,01/18/08
mathematics,0,01/19/09
mathematics,2,01/20/10
mathematics,2,01/21/11
mathematics,2,01/22/12
mathematics,3,01/23/13
mathematics,1,01/24/14
mathematics,8,01/25/15
mathematics,2,01/26/16
meteorology & atmospheric sciences,2,01/10/00
meteorology & atmospheric sciences,2,01/11/01
meteorology & atmospheric sciences,6,01/12/02
meteorology & atmospheric sciences,4,01/13/03
meteorology & atmospheric sciences,6,01/14/04
meteorology & atmospheric sciences,3,01/15/05
meteorology & atmospheric sciences,5,01/16/06
meteorology & atmospheric sciences,6,01/17/07
meteorology & atmospheric sciences,6,01/18/08
meteorology & atmospheric sciences,17,01/19/09
meteorology & atmospheric sciences,6,01/20/10
meteorology & atmospheric sciences,5,01/21/11
meteorology & atmospheric sciences,11,01/22/12
meteorology & atmospheric sciences,25,01/23/13
meteorology & atmospheric sciences,17,01/24/14
meteorology & atmospheric sciences,21,01/25/15
meteorology & atmospheric sciences,10,01/26/16
nutrition & dietetics,15,01/10/00
nutrition & dietetics,8,01/11/01
nutrition & dietetics,11,01/12/02
nutrition & dietetics,10,01/13/03
nutrition & dietetics,9,01/14/04
nutrition & dietetics,21,01/15/05
nutrition & dietetics,6,01/16/06
nutrition & dietetics,20,01/17/07
nutrition & dietetics,19,01/18/08
nutrition & dietetics,24,01/19/09
nutrition & dietetics,24,01/20/10
nutrition & dietetics,25,01/21/11
nutrition & dietetics,23,01/22/12
nutrition & dietetics,36,01/23/13
nutrition & dietetics,52,01/24/14
nutrition & dietetics,33,01/25/15
nutrition & dietetics,25,01/26/16
plant sciences,89,01/10/00
plant sciences,97,01/11/01
plant sciences,81,01/12/02
plant sciences,109,01/13/03
plant sciences,98,01/14/04
plant sciences,103,01/15/05
plant sciences,113,01/16/06
plant sciences,130,01/17/07
plant sciences,121,01/18/08
plant sciences,113,01/19/09
plant sciences,161,01/20/10
plant sciences,138,01/21/11
plant sciences,138,01/22/12
plant sciences,140,01/23/13
plant sciences,118,01/24/14
plant sciences,158,01/25/15
plant sciences,101,01/26/16
public administration,8,01/10/00
public administration,15,01/11/01
public administration,14,01/12/02
public administration,18,01/13/03
public administration,11,01/14/04
public administration,12,01/15/05
public administration,15,01/16/06
public administration,19,01/17/07
public administration,14,01/18/08
public administration,23,01/19/09
public administration,31,01/20/10
public administration,39,01/21/11
public administration,40,01/22/12
public administration,28,01/23/13
public administration,60,01/24/14
public administration,67,01/25/15
public administration,41,01/26/16
public environmental & occupational health,0,01/10/00
public environmental & occupational health,0,01/11/01
public environmental & occupational health,0,01/12/02
public environmental & occupational health,0,01/13/03
public environmental & occupational health,0,01/14/04
public environmental & occupational health,0,01/15/05
public environmental & occupational health,0,01/16/06
public environmental & occupational health,0,01/17/07
public environmental & occupational health,0,01/18/08
public environmental & occupational health,0,01/19/09
public environmental & occupational health,0,01/20/10
public environmental & occupational health,0,01/21/11
public environmental & occupational health,0,01/22/12
public environmental & occupational health,0,01/23/13
public environmental & occupational health,0,01/24/14
public environmental & occupational health,0,01/25/15
public environmental & occupational health,0,01/26/16
social sciences & law,3,01/10/00
social sciences & law,1,01/11/01
social sciences & law,1,01/12/02
social sciences & law,3,01/13/03
social sciences & law,4,01/14/04
social sciences & law,6,01/15/05
social sciences & law,8,01/16/06
social sciences & law,10,01/17/07
social sciences & law,12,01/18/08
social sciences & law,2,01/19/09
social sciences & law,11,01/20/10
social sciences & law,6,01/21/11
social sciences & law,13,01/22/12
social sciences & law,7,01/23/13
social sciences & law,12,01/24/14
social sciences & law,19,01/25/15
social sciences & law,11,01/26/16
veterinary sciences,8,01/10/00
veterinary sciences,18,01/11/01
veterinary sciences,16,01/12/02
veterinary sciences,11,01/13/03
veterinary sciences,13,01/14/04
veterinary sciences,10,01/15/05
veterinary sciences,14,01/16/06
veterinary sciences,16,01/17/07
veterinary sciences,21,01/18/08
veterinary sciences,15,01/19/09
veterinary sciences,18,01/20/10
veterinary sciences,17,01/21/11
veterinary sciences,30,01/22/12
veterinary sciences,19,01/23/13
veterinary sciences,20,01/24/14
veterinary sciences,24,01/25/15
veterinary sciences,28,01/26/16
water resources,10,01/10/00
water resources,20,01/11/01
water resources,23,01/12/02
water resources,26,01/13/03
water resources,29,01/14/04
water resources,29,01/15/05
water resources,29,01/16/06
water resources,48,01/17/07
water resources,43,01/18/08
water resources,58,01/19/09
water resources,71,01/20/10
water resources,49,01/21/11
water resources,56,01/22/12
water resources,64,01/23/13
water resources,61,01/24/14
water resources,54,01/25/15
water resources,47,01/26/16
